col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25
_28,Austria,_1750,Right,_4,_3,Medium/ Medium,Normal,6,6,5,7,7,8,8,6,7,7,4,6,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_26,Spain,_1748,Left,_2,_2,Medium/ Medium,Lean,6,6,7,6,7,4,3,6,4,6,6,7,7,6,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
_23,Netherlands,_1667,Right,_4,_3,Medium/ Medium,Normal,5,7,6,7,6,7,7,6,6,6,3,6,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_27,Ecuador,_1775,Right,_3,_3,High/ Medium,Lean,7,7,6,7,7,8,8,7,7,7,2,7,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
_21,Denmark,_1550,Right,_3,_2,Medium/ High,Normal,7,2,5,5,6,5,7,6,6,5,6,5,7,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
_36,Czech Republic,_1790,Right,_5,_2,Medium/ Medium,Lean,7,6,8,7,8,4,4,8,7,5,7,8,7,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
_32,Scotland,_1627,Right,_3,_2,Medium/ Medium,Normal,6,4,6,5,5,6,5,6,5,7,7,4,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_22,Colombia,_1729,Right,_3,_2,Medium/ Medium,Lean,6,4,6,7,6,8,9,7,7,4,7,6,6,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_32,Cape Verde,_1942,Left,_3,_3,Medium/ Medium,Normal,7,5,7,7,7,7,8,7,7,8,7,7,7,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
_30,Brazil,_2068,Left,_4,_4,Medium/ Medium,Lean,8,5,7,8,8,8,8,8,8,6,8,8,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
_26,Italy,_1461,Left,_3,_2,Medium/ Medium,Lean,4,6,4,6,6,5,5,6,3,7,2,5,3,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_29,Argentina,_1818,Right,_3,_2,Medium/ High,Normal,6,5,7,7,7,6,6,7,4,8,7,5,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_22,Scotland,_1735,Left,_3,_3,High/ High,Normal,6,7,5,7,7,7,8,7,7,7,3,6,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
_26,Brazil,_2170,Right,_3,_2,Medium/ High,Normal,5,6,8,7,8,6,7,8,7,9,9,8,9,9,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_23,Norway,_1697,Right,_3,_3,High/ Medium,Lean,5,6,5,7,7,8,8,7,9,7,2,6,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_22,Scotland,_1555,Right,_3,_3,High/ Medium,Lean,6,2,5,6,6,8,8,6,7,3,6,5,6,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_25,United States,_1377,Right,_3,_2,Medium/ High,Normal,4,2,6,2,5,5,4,6,4,3,6,3,6,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_20,France,_1653,Right,_4,_2,Medium/ High,Stocky,5,6,6,7,6,7,6,6,5,5,6,6,6,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_32,Ghana,_1977,Right,_3,_3,High/ Medium,Lean,7,5,7,7,7,8,8,8,8,8,7,7,7,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
_36,Republic of Ireland,_1748,Left,_3,_2,Medium/ High,Normal,6,5,6,5,5,4,5,6,7,6,7,6,6,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_34,Poland,_1822,Right,_1,_2,Medium/ High,Normal,5,5,7,6,6,6,5,6,6,7,7,6,7,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_25,Serbia,_1779,Right,_4,_3,Medium/ Medium,Normal,6,7,6,7,7,8,9,7,7,7,3,7,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_26,Algeria,_1942,Right,_3,_2,High/ Medium,Lean,8,4,7,6,7,7,7,8,7,5,8,7,8,8,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_29,Austria,_1356,Right,_3,_2,Medium/ Medium,Normal,2,3,3,3,5,4,4,6,4,5,6,3,7,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_24,Chile,_1672,Right,_3,_2,Medium/ High,Lean,5,4,6,6,7,6,6,7,7,5,6,6,6,5,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_23,Japan,_1470,Right,_2,_2,High/ Medium,Lean,7,3,5,6,6,7,8,6,5,3,5,4,6,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_22,England,_1484,Right,_4,_2,Medium/ Medium,Lean,5,4,5,5,5,7,7,5,6,4,6,5,6,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_29,Argentina,_2016,Right,_3,_3,High/ Medium,Normal,6,5,7,7,7,9,9,7,8,7,7,6,6,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
